State,Campaign name,Status,Type,Targeting,Portfolio name,Campaign bid strategy,Campaign budget amount (converted),Campaign budget amount,Impressions,Top-of-search impression share,Clicks,CTR,Total cost (converted),Total cost,CPC (converted),CPC,Purchases,Sales (converted),Sales,ACOS,ROAS,Purchases (new to brand)
ENABLED,Scavenger - ALL- SP - BROAD,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Scavenger,Dynamic bidding (down only),$10.00,$10.00,6399,<5%,10,0.0016,$0.80,$0.80,$0.08,$0.08,0,$0.00,$0.00,0,0,0
ENABLED,Scavenger - ALL- SP - PHRASE,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Scavenger,Dynamic bidding (down only),$10.00,$10.00,6674,<5%,9,0.0013,$0.66,$0.66,$0.07,$0.07,1,$18.89,$18.89,0.0349,28.621212121212125,0
ENABLED,Scavenger - ALL- SP,CAMPAIGN_STATUS_ENABLED,SP,AUTOMATIC,Scavenger,Dynamic bidding (down only),$10.00,$10.00,5385,<5%,6,0.0011,$0.48,$0.48,$0.08,$0.08,0,$0.00,$0.00,0,0,0
ENABLED,DG | DISCOVERY | SP | AUTO | B0CYL1RLNQ,CAMPAIGN_STATUS_ENABLED,SP,AUTOMATIC,Ultra Night Cream,Dynamic bidding (down only),$10.00,$10.00,36476,<5%,93,0.0025,$106.23,$106.23,$1.14,$1.14,5,$96.15,$96.15,1.1048,0.9051115504094891,0
ENABLED,DG | DISCOVERY | SP | AUTO | B0CYLMJJJC,CAMPAIGN_STATUS_ENABLED,SP,AUTOMATIC,Dermatological Cream,Dynamic bidding (down only),$10.00,$10.00,15721,<5%,131,0.0083,$93.34,$93.34,$0.71,$0.71,14,$153.86,$153.86,0.6067,1.6483822584101129,0
ENABLED,DG | DISCOVERY | SP | AUTO | B0CYKDSDJX,CAMPAIGN_STATUS_ENABLED,SP,AUTOMATIC,Hyaluronic Serum,Dynamic bidding (down only),$10.00,$10.00,24000,<5%,43,0.0018,$42.66,$42.66,$0.99,$0.99,7,$175.83,$175.83,0.2426,4.121659634317861,0
ENABLED,DG | DISCOVERY | SP | PHRASE | B0CYLDSQ5L,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Body Cream,Dynamic bidding (down only),$10.00,$10.00,9898,<5%,32,0.0032,$96.61,$96.61,$3.02,$3.02,3,$40.47,$40.47,2.3872,0.4189007349135699,0
ENABLED,DG | DISCOVERY | SP | AUTO | B0CYLDSQ5L,CAMPAIGN_STATUS_ENABLED,SP,AUTOMATIC,Body Cream,Dynamic bidding (down only),$10.00,$10.00,15944,<5%,111,0.0070,$91.73,$91.73,$0.83,$0.83,7,$83.83,$83.83,1.0942,0.9138776845088847,0
ENABLED,Facial Skincare Set - B0F6VZMF2V  | SP - KW | Exact | HARVESTING - dermaglos facial,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Facial Skincare Set,Fixed bids,$10.00,$10.00,1129,12.24%,5,0.0044,$7.76,$7.76,$1.55,$1.55,1,$19.79,$19.79,0.3921,2.5502577319587627,0
ENABLED,Body Lotion - B0CYLM4L23 | SP - KW | Exact | HARVESTING - dermagos,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Body Lotion,Fixed bids,$10.00,$10.00,0,0,0,0,$0.00,$0.00,$0.00,$0.00,0,$0.00,$0.00,0,0,0
ENABLED,B0CYLM4L23 - Body Lotion - SP KW - Exact - Harvesting - dermaglos corporal,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Body Lotion,Fixed bids,$12.00,$12.00,0,0,0,0,$0.00,$0.00,$0.00,$0.00,0,$0.00,$0.00,0,0,0
ENABLED,B0CYLMJJJC - SP KW -BroadM - KWS - vitamin a,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Dermatological Cream,Dynamic bidding (down only),$10.00,$10.00,2729,<5%,32,0.0117,$38.95,$38.95,$1.22,$1.22,3,$26.99,$26.99,1.4431,0.6929396662387677,0
ENABLED,B0CYLMJJJC - SP KW - Phrase - KWS - vitamin a,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Dermatological Cream,Dynamic bidding (down only),$10.00,$10.00,5067,<5%,24,0.0047,$25.69,$25.69,$1.07,$1.07,1,$9.99,$9.99,2.5716,0.3888672635266641,0
ENABLED,B0CYLM4L23 - Body Lotion - SP KW - Exact - dermaglos cream,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Body Lotion,Fixed bids,$10.00,$10.00,204,<5%,3,0.0147,$2.96,$2.96,$0.99,$0.99,0,$0.00,$0.00,0,0,0
ENABLED,DG | DISCOVERY | SP | AUTO | B0CYLM4L23,CAMPAIGN_STATUS_ENABLED,SP,AUTOMATIC,Body Lotion,Dynamic bidding (down only),$10.00,$10.00,28000,<5%,135,0.0048,$119.17,$119.17,$0.88,$0.88,11,$172.69,$172.69,0.6901,1.4491063187043718,0
ENABLED,Dermatological | 2PackSP KW | Exact | Harvesting Nov07,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Dermatological 2Pack,Dynamic bidding (down only),$10.00,$10.00,1156,<5%,15,0.0130,$25.13,$25.13,$1.68,$1.68,3,$29.97,$29.97,0.8385,1.1925984878631117,0
ENABLED,B0CYLM4L23 - Body Lotion - SB-KW - VCPM - Exact - Vitamin E Lotion,CAMPAIGN_STATUS_ENABLED,SB2,MANUAL,Body Lotion,—,$10.00,$10.00,1218,9.33%,4,0.0033,$28.07,$28.07,$7.02,$7.02,0,$0.00,$0.00,0,0,0
ENABLED,Campaign: B0CYLM4L23 - Body Lotion - SB-KW - CPC - Exact - Vitamin E Lotion,CAMPAIGN_STATUS_ENABLED,SB2,MANUAL,Body Lotion,—,$10.00,$10.00,5932,40.64%,65,0.0110,$157.53,$157.53,$2.42,$2.42,7,$145.45,$145.45,1.0831,0.9233161937408745,7
ENABLED,B0CYLM4L23 - Body Lotion - SD - CPC - Remarketing,CAMPAIGN_STATUS_ENABLED,SD,MANUAL,Body Lotion,Dynamic bidding (up and down),$16.00,$16.00,0,0,0,0,$0.00,$0.00,$0.00,$0.00,0,$0.00,$0.00,0,0,0
ENABLED,B0CYK4G2Y8 - Facial Cleanser - SP KW - exact - oily skin cleanser,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Facial Cleanser,Fixed bids,$10.00,$10.00,1681,<5%,12,0.0071,$29.73,$29.73,$2.48,$2.48,0,$0.00,$0.00,0,0,0
ENABLED,B0CYKDSDJX - Hyaluronic Serum - SP KW - exact - hydraulic acid serum for face,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Hyaluronic Serum,Dynamic bidding (down only),$10.00,$10.00,4285,<5%,13,0.0030,$55.56,$55.56,$4.27,$4.27,2,$18.90,$18.90,2.9397,0.3401727861771058,0
ENABLED,B0CYLM4L23 - Body Lotion - SP KW - exact - BEST 1,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Body Lotion,Fixed bids,$15.00,$15.00,25484,<5%,196,0.0077,$492.41,$492.41,$2.51,$2.51,35,$609.11,$609.11,0.8084,1.236997623931276,0
ENABLED,B0CYLMJJJC - Dermatological Cream - SP KW - exact - 2,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Dermatological Cream,Fixed bids,$15.00,$15.00,12088,5.03%,28,0.0023,$62.17,$62.17,$2.22,$2.22,5,$56.95,$56.95,1.0917,0.9160366736368024,0
